NodeID NodeType IfIndex Up Delay Bw DnodeID
67 1 8 1 1000 400000000000 31
67 1 16 1 1000 400000000000 79
67 1 15 1 1000 400000000000 78
67 1 14 1 1000 400000000000 77
67 1 13 1 1000 400000000000 76
67 1 12 1 1000 400000000000 75
67 1 11 1 1000 400000000000 74
67 1 10 1 1000 400000000000 73
67 1 9 1 1000 400000000000 72
68 1 1 1 1000 400000000000 32
68 1 2 1 1000 400000000000 33
68 1 3 1 1000 400000000000 34
68 1 4 1 1000 400000000000 35
68 1 5 1 1000 400000000000 36
68 1 6 1 1000 400000000000 37
68 1 7 1 1000 400000000000 38
68 1 8 1 1000 400000000000 39
68 1 16 1 1000 400000000000 79
68 1 15 1 1000 400000000000 78
68 1 14 1 1000 400000000000 77
68 1 13 1 1000 400000000000 76
68 1 12 1 1000 400000000000 75
68 1 11 1 1000 400000000000 74
68 1 10 1 1000 400000000000 73
68 1 9 1 1000 400000000000 72
69 1 1 1 1000 400000000000 40
69 1 2 1 1000 400000000000 41
69 1 3 1 1000 400000000000 42
69 1 4 1 1000 400000000000 43
69 1 5 1 1000 400000000000 44
69 1 6 1 1000 400000000000 45
69 1 7 1 1000 400000000000 46
69 1 8 1 1000 400000000000 47
69 1 16 1 1000 400000000000 79
69 1 15 1 1000 400000000000 78
69 1 14 1 1000 400000000000 77
69 1 13 1 1000 400000000000 76
69 1 12 1 1000 400000000000 75
69 1 11 1 1000 400000000000 74
69 1 10 1 1000 400000000000 73
69 1 9 1 1000 400000000000 72
70 1 1 1 1000 400000000000 48
70 1 2 1 1000 400000000000 49
70 1 3 1 1000 400000000000 50
70 1 4 1 1000 400000000000 51
70 1 5 1 1000 400000000000 52
70 1 6 1 1000 400000000000 53
70 1 7 1 1000 400000000000 54
70 1 8 1 1000 400000000000 55
70 1 16 1 1000 400000000000 79
70 1 15 1 1000 400000000000 78
70 1 14 1 1000 400000000000 77
70 1 13 1 1000 400000000000 76
70 1 12 1 1000 400000000000 75
70 1 11 1 1000 400000000000 74
70 1 10 1 1000 400000000000 73
70 1 9 1 1000 400000000000 72
71 1 1 1 1000 400000000000 56
71 1 2 1 1000 400000000000 57
71 1 3 1 1000 400000000000 58
71 1 4 1 1000 400000000000 59
71 1 5 1 1000 400000000000 60
71 1 6 1 1000 400000000000 61
71 1 7 1 1000 400000000000 62
71 1 8 1 1000 400000000000 63
71 1 16 1 1000 400000000000 79
71 1 15 1 1000 400000000000 78
71 1 14 1 1000 400000000000 77
71 1 13 1 1000 400000000000 76
71 1 12 1 1000 400000000000 75
71 1 11 1 1000 400000000000 74
71 1 10 1 1000 400000000000 73
71 1 9 1 1000 400000000000 72
72 1 12 1 1000 400000000000 83
72 1 11 1 1000 400000000000 82
72 1 10 1 1000 400000000000 81
72 1 9 1 1000 400000000000 80
72 1 8 1 1000 400000000000 71
72 1 7 1 1000 400000000000 70
